Year,Country,Variable name,Variable total,Variable per capita,Unit total,Unit per capita,Historical
2040,Austria,final energy demand,176.60842534863363,1.764593615344689e-05,TWh,TWh / capita,1
2045,Austria,final energy demand,163.9617423512238,1.6169003057285935e-05,TWh,TWh / capita,1
2050,Austria,final energy demand,151.01991214889765,1.4791781840520085e-05,TWh,TWh / capita,1
1990,Austria,final energy demand industry,83.47041648884233,1.091856163074678e-05,TWh,TWh / capita,1
1991,Austria,final energy demand industry,83.47041648884233,1.082501541183516e-05,TWh,TWh / capita,1
1992,Austria,final energy demand industry,83.47041648884233,1.0702846195192723e-05,TWh,TWh / capita,1
1993,Austria,final energy demand industry,83.47041648884233,1.0589307363400244e-05,TWh,TWh / capita,1
1994,Austria,final energy demand industry,83.47041648884233,1.052756848167949e-05,TWh,TWh / capita,1
1995,Austria,final energy demand industry,83.47041648884233,1.0508029467761878e-05,TWh,TWh / capita,1
1996,Austria,final energy demand industry,83.47041648884233,1.0495374487457773e-05,TWh,TWh / capita,1
1997,Austria,final energy demand industry,83.47041648884233,1.0479695266601557e-05,TWh,TWh / capita,1
1998,Austria,final energy demand industry,83.47041648884233,1.0471609808318225e-05,TWh,TWh / capita,1
1999,Austria,final energy demand industry,83.47041648884233,1.0456727128243073e-05,TWh,TWh / capita,1
2000,Austria,final energy demand industry,83.47041648884233,1.0430951803524978e-05,TWh,TWh / capita,1
2001,Austria,final energy demand industry,85.50234811800004,1.0659883275364283e-05,TWh,TWh / capita,1
2002,Austria,final energy demand industry,85.39442799819999,1.0590059575849118e-05,TWh,TWh / capita,1
2003,Austria,final energy demand industry,89.13865579140001,1.1004401430840666e-05,TWh,TWh / capita,1
2004,Austria,final energy demand industry,93.24463880509995,1.1451495590533846e-05,TWh,TWh / capita,1
2005,Austria,final energy demand industry,99.47246608899704,1.2128778424282737e-05,TWh,TWh / capita,1
2006,Austria,final energy demand industry,100.4738749497,1.2172310104348063e-05,TWh,TWh / capita,1
2007,Austria,final energy demand industry,102.6563900573,1.2393648238038368e-05,TWh,TWh / capita,1
2008,Austria,final energy demand industry,105.0933306044,1.2649671371062238e-05,TWh,TWh / capita,1
2009,Austria,final energy demand industry,96.1899644497,1.1540483482693408e-05,TWh,TWh / capita,1
2010,Austria,final energy demand industry,104.67298257592452,1.2533220418536152e-05,TWh,TWh / capita,1
2011,Austria,final energy demand industry,105.21076666899812,1.2562233607484954e-05,TWh,TWh / capita,1
2012,Austria,final energy demand industry,103.03683251208984,1.2254442165150792e-05,TWh,TWh / capita,1
2013,Austria,final energy demand industry,105.314322190737,1.24604906128044e-05,TWh,TWh / capita,1
2014,Austria,final energy demand industry,102.37652444598776,1.203327451419062e-05,TWh,TWh / capita,1
2015,Austria,final energy demand industry,102.56212823900464,1.19467690506598e-05,TWh,TWh / capita,1
2020,Austria,final energy demand industry,104.72829895211252,1.1870905624610146e-05,TWh,TWh / capita,1
2025,Austria,final energy demand industry,100.6996930169309,1.0940875415400997e-05,TWh,TWh / capita,1
2030,Austria,final energy demand industry,101.24733705088988,1.0610817355816323e-05,TWh,TWh / capita,1
2035,Austria,final energy demand industry,99.87058511514422,1.0178765325479878e-05,TWh,TWh / capita,1
2040,Austria,final energy demand industry,95.31701668754552,9.523656572358839e-06,TWh,TWh / capita,1
2045,Austria,final energy demand industry,92.52683436344635,9.124486274967832e-06,TWh,TWh / capita,1
2050,Austria,final energy demand industry,88.81741578808621,8.699302093890968e-06,TWh,TWh / capita,1
1990,Austria,living space,325169485.2706499,42.5346274130594,m2,m2 / capita,1
1991,Austria,living space,327979492.89606625,42.5346274130594,m2,m2 / capita,1
1992,Austria,living space,331723263.1970815,42.5346274130594,m2,m2 / capita,1
1993,Austria,living space,335280008.74136156,42.5346274130594,m2,m2 / capita,1
1994,Austria,living space,337246256.96278507,42.5346274130594,m2,m2 / capita,1
1995,Austria,living space,337873344.9747358,42.5346274130594,m2,m2 / capita,1
1996,Austria,living space,338280741.6360981,42.5346274130594,m2,m2 / capita,1
1997,Austria,living space,338786861.16768605,42.5346274130594,m2,m2 / capita,1
1998,Austria,living space,339048449.1262764,42.5346274130594,m2,m2 / capita,1
1999,Austria,living space,339531004.47427756,42.5346274130594,m2,m2 / capita,1
2000,Austria,living space,340370000.0000001,42.5346274130594,m2,m2 / capita,1
2001,Austria,living space,344429999.9999999,42.9413188918115,m2,m2 / capita,1
2002,Austria,living space,350580000.0000001,43.4766433025284,m2,m2 / capita,1
2003,Austria,living space,353619999.9999998,43.6553187775276,m2,m2 / capita,1
2004,Austria,living space,381150000.00000036,46.8095281430084,m2,m2 / capita,1
2005,Austria,living space,388160000.0,47.3287414927209,m2,m2 / capita,1
2006,Austria,living space,393859999.99999964,47.7157476020371,m2,m2 / capita,1
2007,Austria,living space,398749999.9999997,48.1408632444539,m2,m2 / capita,1
2008,Austria,living space,402900000.0,48.4954903045731,m2,m2 / capita,1
2009,Austria,living space,407320000.0000003,48.8686086855638,m2,m2 / capita,1
2010,Austria,living space,412770000.0000001,49.4238079860454,m2,m2 / capita,1
2011,Austria,living space,439700000.0000002,52.5004644685167,m2,m2 / capita,1
2012,Austria,living space,420169999.9999999,49.9719259511132,m2,m2 / capita,1
2013,Austria,living space,437769999.9999999,51.7956994081776,m2,m2 / capita,1
2014,Austria,living space,447209999.99999994,52.5647918271569,m2,m2 / capita,1
2015,Austria,living space,457867449.54564506,53.3338842461362,m2,m2 / capita,1
2020,Austria,living space,492882721.40206814,55.86803498489311,m2,m2 / capita,1
2025,Austria,living space,493900256.1637277,53.66154561576911,m2,m2 / capita,1
2030,Austria,living space,491212635.83761084,51.47955209056231,m2,m2 / capita,1
2035,Austria,living space,483848449.1130943,49.31361732727811,m2,m2 / capita,1
2040,Austria,living space,471904754.85026443,47.1506450394848,m2,m2 / capita,1
2045,Austria,living space,456074060.1431212,44.97550932952681,m2,m2 / capita,1
2050,Austria,living space,436792794.07625014,42.7820651432836,m2,m2 / capita,1
1990,Austria,floor area in commercial and public buildings,226760.0,0.029661922625234507,1000m2,1000m2 / capita,1
1991,Austria,floor area in commercial and public buildings,226760.0,0.02940779018535104,1000m2,1000m2 / capita,1
1992,Austria,floor area in commercial and public buildings,226760.0,0.029075899046775704,1000m2,1000m2 / capita,1
1993,Austria,floor area in commercial and public buildings,226760.0,0.02876745365282342,1000m2,1000m2 / capita,1
1994,Austria,floor area in commercial and public buildings,226760.0,0.028599730650975576,1000m2,1000m2 / capita,1
1995,Austria,floor area in commercial and public buildings,226760.0,0.028546649967035896,1000m2,1000m2 / capita,1
1996,Austria,floor area in commercial and public buildings,226760.0,0.028512270800686076,1000m2,1000m2 / capita,1
1997,Austria,floor area in commercial and public buildings,226760.0,0.028469675827869197,1000m2,1000m2 / capita,1
1998,Austria,floor area in commercial and public buildings,226760.0,0.028447710458610814,1000m2,1000m2 / capita,1
1999,Austria,floor area in commercial and public buildings,226760.0,0.028407279409194734,1000m2,1000m2 / capita,1
2000,Austria,floor area in commercial and public buildings,226760.0,0.028337256844567223,1000m2,1000m2 / capita,1
2001,Austria,floor area in commercial and public buildings,226760.0,0.028270979507903433,1000m2,1000m2 / capita,1
2002,Austria,floor area in commercial and public buildings,226760.0,0.02812129509749939,1000m2,1000m2 / capita,1
2003,Austria,floor area in commercial and public buildings,226760.0,0.02799411822292903,1000m2,1000m2 / capita,1
2004,Austria,floor area in commercial and public buildings,226760.0,0.027848691070991933,1000m2,1000m2 / capita,1
2005,Austria,floor area in commercial and public buildings,226760.0,0.027649076207979677,1000m2,1000m2 / capita,1
2006,Austria,floor area in commercial and public buildings,226760.0,0.027471748657487288,1000m2,1000m2 / capita,1
2007,Austria,floor area in commercial and public buildings,226760.0,0.027376607271002818,1000m2,1000m2 / capita,1
2008,Austria,floor area in commercial and public buildings,226760.0,0.027294210428059063,1000m2,1000m2 / capita,1
2009,Austria,floor area in commercial and public buildings,226760.0,0.027205749056119118,1000m2,1000m2 / capita,1
2010,Austria,floor area in commercial and public buildings,226760.0,0.02715154371421288,1000m2,1000m2 / capita,1
2011,Austria,floor area in commercial and public buildings,226760.0,0.027075290704755155,1000m2,1000m2 / capita,1
2012,Austria,floor area in commercial and public buildings,229740.00000000003,0.02732358394937466,1000m2,1000m2 / capita,1
2013,Austria,floor area in commercial and public buildings,229740.00000000003,0.027182182383522685,1000m2,1000m2 / capita,1
2014,Austria,floor area in commercial and public buildings,229740.00000000003,0.027003500088037008,1000m2,1000m2 / capita,1
2015,Austria,floor area in commercial and public buildings,229740.00000000003,0.02676085967427093,1000m2,1000m2 / capita,1
2020,Austria,floor area in commercial and public buildings,229740.00000000003,0.026040925762051855,1000m2,1000m2 / capita,1
2025,Austria,floor area in commercial and public buildings,229740.00000000003,0.024960917383448376,1000m2,1000m2 / capita,1
2030,Austria,floor area in commercial and public buildings,229740.00000000003,0.024076970815538272,1000m2,1000m2 / capita,1
2035,Austria,floor area in commercial and public buildings,229740.00000000003,0.023414997951395258,1000m2,1000m2 / capita,1
2040,Austria,floor area in commercial and public buildings,229740.00000000003,0.02295460912405589,1000m2,1000m2 / capita,1
2045,Austria,floor area in commercial and public buildings,229740.00000000003,0.022655692170089614,1000m2,1000m2 / capita,1
2050,Austria,floor area in commercial and public buildings,229740.00000000003,0.022502092020094518,1000m2,1000m2 / capita,1
1990,Austria,average distance travelled,98010530297.39656,12820.5184606614,pkm,pkm / capita,1
1991,Austria,average distance travelled,98857505028.9817,12820.5184606614,pkm,pkm / capita,1
1992,Austria,average distance travelled,99985928602.33374,12820.5184606614,pkm,pkm / capita,1
1993,Austria,average distance travelled,101057980356.01424,12820.5184606614,pkm,pkm / capita,1
1994,Austria,average distance travelled,101650634462.89523,12820.5184606614,pkm,pkm / capita,1
1995,Austria,average distance travelled,101839647366.56076,12820.5184606614,pkm,pkm / capita,1
1996,Austria,average distance travelled,103129659024.16476,12967.28155618012,pkm,pkm / capita,1
1997,Austria,average distance travelled,104452919773.26309,13114.04465169884,pkm,pkm / capita,1
1998,Austria,average distance travelled,105703436806.76984,13260.80774721756,pkm,pkm / capita,1
1999,Austria,average distance travelled,107025411356.87949,13407.57084273628,pkm,pkm / capita,1
2000,Austria,average distance travelled,108464301280.02902,13554.333938255,pkm,pkm / capita,1
2001,Austria,average distance travelled,109928770937.96713,13705.21269410954,pkm,pkm / capita,1
2002,Austria,average distance travelled,111730533259.58836,13856.09144996408,pkm,pkm / capita,1
2003,Austria,average distance travelled,113460282569.99701,14006.97020581862,pkm,pkm / capita,1
2004,Austria,average distance travelled,115281318693.3979,14157.84896167316,pkm,pkm / capita,1
2005,Austria,average distance travelled,117351012844.69525,14308.7277175277,pkm,pkm / capita,1
2006,Austria,average distance travelled,119989136781.21022,14536.5646819645,pkm,pkm / capita,1
2007,Austria,average distance travelled,122616056872.23639,14803.3675873618,pkm,pkm / capita,1
2008,Austria,average distance travelled,124209305114.75209,14950.5861303803,pkm,pkm / capita,1
2009,Austria,average distance travelled,123703766584.65265,14841.4783515558,pkm,pkm / capita,1
2010,Austria,average distance travelled,124941204353.06795,14960.0748443232,pkm,pkm / capita,1
2011,Austria,average distance travelled,127032256280.05482,15167.7335846862,pkm,pkm / capita,1
2012,Austria,average distance travelled,128437095427.75249,15275.3624059112,pkm,pkm / capita,1
2013,Austria,average distance travelled,129540662293.6722,15326.8821648338,pkm,pkm / capita,1
2014,Austria,average distance travelled,131230862476.31995,15424.7958841842,pkm,pkm / capita,1
2015,Austria,average distance travelled,132420731230.82593,15424.7958841842,pkm,pkm / capita,1
2020,Austria,average distance travelled,140772771152.41882,15956.530351259917,pkm,pkm / capita,1
2025,Austria,average distance travelled,141488250786.10458,15372.492985986682,pkm,pkm / capita,1
2030,Austria,average distance travelled,141538129952.02246,14833.330826763768,pkm,pkm / capita,1
2035,Austria,average distance travelled,140684070625.6923,14338.457497582182,pkm,pkm / capita,1
2040,Austria,average distance travelled,138913574589.68134,13879.632657488975,pkm,pkm / capita,1
2045,Austria,average distance travelled,136282281775.79175,13439.40726103313,pkm,pkm / capita,1
2050,Austria,average distance travelled,132815967947.2057,13008.78006653585,pkm,pkm / capita,1
1990,Austria,average distance travelled car,65901174948.92337,8620.37198909423,pkm,pkm / capita,1
1991,Austria,average distance travelled car,65930964671.67189,8550.3791488019,pkm,pkm / capita,1
1992,Austria,average distance travelled car,65992314086.95404,8461.747496275313,pkm,pkm / capita,1
1993,Austria,average distance travelled car,66019325659.12366,8375.409644952795,pkm,pkm / capita,1
1994,Austria,average distance travelled car,66073561854.79046,8333.418910731969,pkm,pkm / capita,1
1995,Austria,average distance travelled car,66074128748.5884,8318.023572335582,pkm,pkm / capita,1
1996,Austria,average distance travelled car,66093772274.84895,8310.47598050525,pkm,pkm / capita,1
1997,Austria,average distance travelled car,66106074256.02996,8299.605328639189,pkm,pkm / capita,1
1998,Austria,average distance travelled car,66128764924.16244,8296.048498624588,pkm,pkm / capita,1
1999,Austria,average distance travelled car,66157746356.09557,8287.888453961199,pkm,pkm / capita,1
2000,Austria,average distance travelled car,66169398693.11764,8268.91535551881,pkm,pkm / capita,1
2001,Austria,average distance travelled car,66970482692.40027,8349.449390682877,pkm,pkm / capita,1
2002,Austria,average distance travelled car,67782131006.15049,8405.897461462873,pkm,pkm / capita,1
2003,Austria,average distance travelled car,68596220479.30312,8468.383779077954,pkm,pkm / capita,1
2004,Austria,average distance travelled car,69401752740.6848,8523.319685397331,pkm,pkm / capita,1
2005,Austria,average distance travelled car,70216503302.64394,8561.569284144729,pkm,pkm / capita,1
2006,Austria,average distance travelled car,70778735985.7967,8574.77352838445,pkm,pkm / capita,1
2007,Austria,average distance travelled car,71378571327.8778,8617.494773366436,pkm,pkm / capita,1
2008,Austria,average distance travelled car,72091715381.60094,8677.396585575756,pkm,pkm / capita,1
2009,Austria,average distance travelled car,72647015570.40572,8715.895551615964,pkm,pkm / capita,1
2010,Austria,average distance travelled car,73260194203.51945,8771.9499269209,pkm,pkm / capita,1
2011,Austria,average distance travelled car,73756880370.69441,8806.619234046571,pkm,pkm / capita,1
2012,Austria,average distance travelled car,74224217042.9098,8827.68183794094,pkm,pkm / capita,1
2013,Austria,average distance travelled car,74717591472.91225,8840.372589336814,pkm,pkm / capita,1
2014,Austria,average distance travelled car,75237915424.8064,8843.418890038654,pkm,pkm / capita,1
2015,Austria,average distance travelled car,75754513024.42886,8824.131160178767,pkm,pkm / capita,1
2020,Austria,average distance travelled car,80376867220.97507,9110.681780655135,pkm,pkm / capita,1
2025,Austria,average distance travelled car,79079028194.669,8591.82157887402,pkm,pkm / capita,1
2030,Austria,average distance travelled car,61064818349.62654,6399.651124140785,pkm,pkm / capita,1
2035,Austria,average distance travelled car,42898243501.54069,4372.169773252503,pkm,pkm / capita,1
2040,Austria,average distance travelled car,40983223432.2135,4094.863212894181,pkm,pkm / capita,1
2045,Austria,average distance travelled car,39890288758.96481,3933.7603495216017,pkm,pkm / capita,1
2050,Austria,average distance travelled car,38577309893.23959,3778.4894972811867,pkm,pkm / capita,1
1990,Austria,average distance travelled plane,6147964542.514617,804.2002494388508,pkm,pkm / capita,1
1991,Austria,average distance travelled plane,6147964542.514617,797.3101575817938,pkm,pkm / capita,1
1992,Austria,average distance travelled plane,6147964542.514617,788.3118556240588,pkm,pkm / capita,1
1993,Austria,average distance travelled plane,6147964542.514615,779.9492195977726,pkm,pkm / capita,1
1994,Austria,average distance travelled plane,6147964542.514616,775.4018784956179,pkm,pkm / capita,1
1995,Austria,average distance travelled plane,6147964542.514615,773.9627438918358,pkm,pkm / capita,1
1996,Austria,average distance travelled plane,6147964542.514616,773.0306487440149,pkm,pkm / capita,1
1997,Austria,average distance travelled plane,6147964542.514616,771.8758049330802,pkm,pkm / capita,1
1998,Austria,average distance travelled plane,6147964542.514616,771.2802752481103,pkm,pkm / capita,1
1999,Austria,average distance travelled plane,6147964542.514615,770.1841001809611,pkm,pkm / capita,1
2000,Austria,average distance travelled plane,6147964542.514615,768.2856337649006,pkm,pkm / capita,1
2001,Austria,average distance travelled plane,6311850749.417764,786.9209878009108,pkm,pkm / capita,1
2002,Austria,average distance travelled plane,6475736956.320907,803.078629046052,pkm,pkm / capita,1
2003,Austria,average distance travelled plane,6639623163.224051,819.6789371449643,pkm,pkm / capita,1
2004,Austria,average distance travelled plane,6803509370.127196,835.5478507993968,pkm,pkm / capita,1
2005,Austria,average distance travelled plane,6967395577.030343,849.5415914643345,pkm,pkm / capita,1
2006,Austria,average distance travelled plane,7079124988.124115,857.6289574381874,pkm,pkm / capita,1
2007,Austria,average distance travelled plane,7190854399.217887,868.1478075072808,pkm,pkm / capita,1
2008,Austria,average distance travelled plane,7302583810.311659,878.9833268088895,pkm,pkm / capita,1
2009,Austria,average distance travelled plane,7414313221.405428,889.5393584627898,pkm,pkm / capita,1
2010,Austria,average distance travelled plane,7526042632.4992,901.1451558093659,pkm,pkm / capita,1
2011,Austria,average distance travelled plane,7761887970.617923,926.7744453264345,pkm,pkm / capita,1
2012,Austria,average distance travelled plane,7997733308.736649,951.1915098196909,pkm,pkm / capita,1
2013,Austria,average distance travelled plane,8233578646.855373,974.1735720723455,pkm,pkm / capita,1
2014,Austria,average distance travelled plane,8469423984.974096,995.490952049581,pkm,pkm / capita,1
2015,Austria,average distance travelled plane,8705269323.092821,1014.0179802473336,pkm,pkm / capita,1
2020,Austria,average distance travelled plane,9254328041.005745,1048.9739248433243,pkm,pkm / capita,1
2025,Austria,average distance travelled plane,9255915218.22326,1005.6417474983605,pkm,pkm / capita,1
2030,Austria,average distance travelled plane,9241670366.764055,968.535856652751,pkm,pkm / capita,1
2035,Austria,average distance travelled plane,9181165680.351202,935.7402959730296,pkm,pkm / capita,1
2040,Austria,average distance travelled plane,9044059027.941046,903.6425519338189,pkm,pkm / capita,1
2045,Austria,average distance travelled plane,8845409625.701506,872.2855297216022,pkm,pkm / capita,1
2050,Austria,average distance travelled plane,8588473986.774903,841.2058499286013,pkm,pkm / capita,1
1990,Austria,transported goods,76.2460606247267,9.973561257406872e-06,km,km / capita,1
1991,Austria,transported goods,76.2460606247267,9.888111454010928e-06,km,km / capita,1
1992,Austria,transported goods,76.2460606247267,9.776515970360265e-06,km,km / capita,1
1993,Austria,transported goods,76.2460606247267,9.67280391264857e-06,km,km / capita,1
1994,Austria,transported goods,76.2460606247267,9.616408524718373e-06,km,km / capita,1
1995,Austria,transported goods,76.2460606247267,9.598560610422788e-06,km,km / capita,1
1996,Austria,transported goods,76.2460606247267,9.587000917347571e-06,km,km / capita,1
1997,Austria,transported goods,76.2460606247267,9.572678731425432e-06,km,km / capita,1
1998,Austria,transported goods,76.2460606247267,9.565293068715433e-06,km,km / capita,1
1999,Austria,transported goods,76.2460606247267,9.551698483052619e-06,km,km / capita,1
2000,Austria,transported goods,76.2460606247267,9.528154010007602e-06,km,km / capita,1
2001,Austria,transported goods,76.2460606247267,9.50586883700834e-06,km,km / capita,1
2002,Austria,transported goods,76.2460606247267,9.455538767197778e-06,km,km / capita,1
2003,Austria,transported goods,76.2460606247267,9.412776658851707e-06,km,km / capita,1
2004,Austria,transported goods,76.2460606247267,9.363878054851543e-06,km,km / capita,1
2005,Austria,transported goods,76.2460606247267,9.296759308393486e-06,km,km / capita,1
2006,Austria,transported goods,80.53154288384658,9.756316392241543e-06,km,km / capita,1
2007,Austria,transported goods,82.55340554796119,9.966626224071082e-06,km,km / capita,1
2008,Austria,transported goods,84.62273693314698,1.0185706424641026e-05,km,km / capita,1
2009,Austria,transported goods,80.13520518638933,9.61429830155902e-06,km,km / capita,1
2010,Austria,transported goods,85.81148098604409,1.0274802333629933e-05,km,km / capita,1
2011,Austria,transported goods,85.81148098604409,1.0245946346369347e-05,km,km / capita,1
2012,Austria,transported goods,85.81148098604409,1.0205785690529916e-05,km,km / capita,1
2013,Austria,transported goods,85.81148098604409,1.0152969995485501e-05,km,km / capita,1
2014,Austria,transported goods,85.81148098604409,1.008622936520078e-05,km,km / capita,1
2015,Austria,transported goods,85.81148098604409,9.995599378031225e-06,km,km / capita,1
2020,Austria,transported goods,85.81148098604409,9.726692808780788e-06,km,km / capita,1
2025,Austria,transported goods,81.09184953181165,8.810511694239476e-06,km,km / capita,1
2030,Austria,transported goods,76.37221807757913,8.003881195141452e-06,km,km / capita,1
2035,Austria,transported goods,71.65258662334686,7.30279955165769e-06,km,km / capita,1
2040,Austria,transported goods,66.9329551691144,6.687646136610852e-06,km,km / capita,1
2045,Austria,transported goods,66.9329551691144,6.600559016043632e-06,km,km / capita,1
2050,Austria,transported goods,66.9329551691144,6.555808811666549e-06,km,km / capita,1
1990,Austria,meat consumption,1053081324318.0,137751.0,kcal,kcal / capita,1
1991,Austria,meat consumption,1078927814365.5,139922.75,kcal,kcal / capita,1
1992,Austria,meat consumption,1113019870785.0,142715.0,kcal,kcal / capita,1
1993,Austria,meat consumption,1100498183887.5002,139612.50000000003,kcal,kcal / capita,1
1994,Austria,meat consumption,1188128534659.5,149850.75,kcal,kcal / capita,1
1995,Austria,meat consumption,983322517437.7501,123789.75000000001,kcal,kcal / capita,1
1996,Austria,meat consumption,1028922078324.7501,129374.25000000001,kcal,kcal / capita,1
1997,Austria,meat consumption,1010692456913.4999,126892.24999999999,kcal,kcal / capita,1
1998,Austria,meat consumption,1008999805511.9999,126581.99999999999,kcal,kcal / capita,1
1999,Austria,meat consumption,993099968625.2501,124410.25000000001,kcal,kcal / capita,1
2000,Austria,meat consumption,1047690203143.0001,130925.50000000001,kcal,kcal / capita,1
2001,Austria,meat consumption,1000376395593.0,124720.5,kcal,kcal / capita,1
2002,Austria,meat consumption,995694235380.0,123479.5,kcal,kcal / capita,1
2003,Austria,meat consumption,980112782317.5,120997.5,kcal,kcal / capita,1
2004,Austria,meat consumption,1018072009119.75,125030.75,kcal,kcal / capita,1
2005,Austria,meat consumption,1010155237010.7501,123169.25000000001,kcal,kcal / capita,1
2006,Austria,meat consumption,983384046528.0001,119136.00000000001,kcal,kcal / capita,1
2007,Austria,meat consumption,1017639131256.0001,122859.00000000001,kcal,kcal / capita,1
2008,Austria,meat consumption,971737702393.2501,116964.25000000001,kcal,kcal / capita,1
2009,Austria,meat consumption,1011100460173.2501,121307.75000000001,kcal,kcal / capita,1
2010,Austria,meat consumption,1023483410096.25,122548.75,kcal,kcal / capita,1
2011,Austria,meat consumption,1002980327566.0001,119756.50000000001,kcal,kcal / capita,1
2012,Austria,meat consumption,962580610352.2499,114482.24999999999,kcal,kcal / capita,1
2013,Austria,meat consumption,1006920792959.9999,119135.99999999999,kcal,kcal / capita,1
2014,Austria,meat consumption,1012263822592.7501,118980.87500000001,kcal,kcal / capita,1
2015,Austria,meat consumption,1013784521577.1875,118088.90625,kcal,kcal / capita,1
2020,Austria,meat consumption,1051049601312.0006,119136.00000000001,kcal,kcal / capita,1
2025,Austria,meat consumption,848432927293.4874,92181.0055,kcal,kcal / capita,1
2030,Austria,meat consumption,762671713687.0641,79928.72200000001,kcal,kcal / capita,1
2035,Austria,meat consumption,664018924293.0736,67676.5115,kcal,kcal / capita,1
2040,Austria,meat consumption,554710475438.9369,55424.228,kcal,kcal / capita,1
2045,Austria,meat consumption,437785384815.315,43171.981,kcal,kcal / capita,1
2050,Austria,meat consumption,315681745626.8746,30919.734,kcal,kcal / capita,1
1990,Austria,food waste,1565283070440.4329,204750.86136000004,kcal,kcal / capita,1
1991,Austria,food waste,1578809731345.3198,204750.86136000004,kcal,kcal / capita,1
1992,Austria,food waste,1596831287909.6428,204750.86136000004,kcal,kcal / capita,1
1993,Austria,food waste,1613952554936.5662,204750.86136000004,kcal,kcal / capita,1
1994,Austria,food waste,1623417573004.6548,204750.86136000004,kcal,kcal / capita,1
1995,Austria,food waste,1626436214953.6853,204750.86136000004,kcal,kcal / capita,1
1996,Austria,food waste,1628397318703.7915,204750.86136000004,kcal,kcal / capita,1
1997,Austria,food waste,1630833649203.114,204750.86136000004,kcal,kcal / capita,1
1998,Austria,food waste,1632092867000.478,204750.86136000004,kcal,kcal / capita,1
1999,Austria,food waste,1634415765522.6072,204750.86136000004,kcal,kcal / capita,1
2000,Austria,food waste,1638454476262.9333,204750.86136000004,kcal,kcal / capita,1
2001,Austria,food waste,1642295602422.0469,204750.86136000004,kcal,kcal / capita,1
2002,Austria,food waste,1651037235696.9507,204750.86136000004,kcal,kcal / capita,1
2003,Austria,food waste,1658537874001.1516,204750.86136000004,kcal,kcal / capita,1
2004,Austria,food waste,1667198835436.6797,204750.86136000004,kcal,kcal / capita,1
2005,Austria,food waste,1679235319572.5886,204750.86136000004,kcal,kcal / capita,1
2006,Austria,food waste,1690074625422.1255,204750.86136000004,kcal,kcal / capita,1
2007,Austria,food waste,1695948108631.0986,204750.86136000004,kcal,kcal / capita,1
2008,Austria,food waste,1701067903919.4053,204750.86136000004,kcal,kcal / capita,1
2009,Austria,food waste,1706599043688.1843,204750.86136000004,kcal,kcal / capita,1
2010,Austria,food waste,1710006098021.2148,204750.86136000004,kcal,kcal / capita,1
